nohup: ignoring input
⛏️  Mining Irium Genesis Block...

Genesis Configuration:
  Timestamp: 1735689600
  Bits: 0x1d00ffff
  Target: 26959535291011309493156476344723991336010898738574164086137773096960
  Merkle root: a0bd470d94bf7ef20539a0a6e2bd30629795f0bad5160d0495e07e85e4a5db04
  Total vesting: 3500000.0 IRM

⛏️  Mining for valid nonce...
  Nonce: 100,000 | Hashrate: 203572.11 H/s
  Nonce: 200,000 | Hashrate: 201057.99 H/s
  Nonce: 300,000 | Hashrate: 201708.87 H/s
  Nonce: 400,000 | Hashrate: 205467.34 H/s
  Nonce: 500,000 | Hashrate: 204977.01 H/s
  Nonce: 600,000 | Hashrate: 207933.61 H/s
  Nonce: 700,000 | Hashrate: 207636.86 H/s
  Nonce: 800,000 | Hashrate: 208438.77 H/s
  Nonce: 900,000 | Hashrate: 209187.66 H/s
  Nonce: 1,000,000 | Hashrate: 207892.21 H/s
  Nonce: 1,100,000 | Hashrate: 205797.74 H/s
  Nonce: 1,200,000 | Hashrate: 207138.16 H/s
  Nonce: 1,300,000 | Hashrate: 208236.06 H/s
  Nonce: 1,400,000 | Hashrate: 209035.63 H/s
  Nonce: 1,500,000 | Hashrate: 210163.35 H/s
  Nonce: 1,600,000 | Hashrate: 209697.31 H/s
  Nonce: 1,700,000 | Hashrate: 210186.85 H/s
  Nonce: 1,800,000 | Hashrate: 210941.11 H/s
  Nonce: 1,900,000 | Hashrate: 211785.30 H/s
  Nonce: 2,000,000 | Hashrate: 212239.53 H/s
  Nonce: 2,100,000 | Hashrate: 211948.80 H/s
  Nonce: 2,200,000 | Hashrate: 212470.72 H/s
  Nonce: 2,300,000 | Hashrate: 213045.88 H/s
  Nonce: 2,400,000 | Hashrate: 213599.07 H/s
  Nonce: 2,500,000 | Hashrate: 213391.60 H/s
  Nonce: 2,600,000 | Hashrate: 213869.86 H/s
  Nonce: 2,700,000 | Hashrate: 213137.04 H/s
  Nonce: 2,800,000 | Hashrate: 213357.03 H/s
  Nonce: 2,900,000 | Hashrate: 213325.76 H/s
  Nonce: 3,000,000 | Hashrate: 213465.57 H/s
  Nonce: 3,100,000 | Hashrate: 213968.73 H/s
  Nonce: 3,200,000 | Hashrate: 214104.46 H/s
  Nonce: 3,300,000 | Hashrate: 214150.37 H/s
  Nonce: 3,400,000 | Hashrate: 214355.88 H/s
  Nonce: 3,500,000 | Hashrate: 214726.23 H/s
  Nonce: 3,600,000 | Hashrate: 214978.78 H/s
  Nonce: 3,700,000 | Hashrate: 214877.18 H/s
  Nonce: 3,800,000 | Hashrate: 214950.26 H/s
  Nonce: 3,900,000 | Hashrate: 215206.93 H/s
  Nonce: 4,000,000 | Hashrate: 214373.15 H/s
  Nonce: 4,100,000 | Hashrate: 214209.29 H/s
  Nonce: 4,200,000 | Hashrate: 213775.53 H/s
  Nonce: 4,300,000 | Hashrate: 212716.39 H/s
  Nonce: 4,400,000 | Hashrate: 211945.17 H/s
  Nonce: 4,500,000 | Hashrate: 212125.91 H/s
  Nonce: 4,600,000 | Hashrate: 211648.77 H/s
  Nonce: 4,700,000 | Hashrate: 211061.05 H/s
  Nonce: 4,800,000 | Hashrate: 211430.16 H/s
  Nonce: 4,900,000 | Hashrate: 211423.02 H/s
  Nonce: 5,000,000 | Hashrate: 211038.68 H/s
  Nonce: 5,100,000 | Hashrate: 211276.31 H/s
  Nonce: 5,200,000 | Hashrate: 211377.73 H/s
  Nonce: 5,300,000 | Hashrate: 211478.85 H/s
  Nonce: 5,400,000 | Hashrate: 211591.19 H/s
  Nonce: 5,500,000 | Hashrate: 211388.77 H/s
  Nonce: 5,600,000 | Hashrate: 211583.07 H/s
  Nonce: 5,700,000 | Hashrate: 211755.21 H/s
  Nonce: 5,800,000 | Hashrate: 211778.69 H/s
  Nonce: 5,900,000 | Hashrate: 211929.58 H/s
  Nonce: 6,000,000 | Hashrate: 211946.53 H/s
  Nonce: 6,100,000 | Hashrate: 212118.37 H/s
  Nonce: 6,200,000 | Hashrate: 212552.70 H/s
  Nonce: 6,300,000 | Hashrate: 213008.07 H/s
  Nonce: 6,400,000 | Hashrate: 213145.83 H/s
  Nonce: 6,500,000 | Hashrate: 212830.13 H/s
  Nonce: 6,600,000 | Hashrate: 212831.14 H/s
  Nonce: 6,700,000 | Hashrate: 212946.06 H/s
  Nonce: 6,800,000 | Hashrate: 212844.35 H/s
  Nonce: 6,900,000 | Hashrate: 212759.41 H/s
  Nonce: 7,000,000 | Hashrate: 212672.94 H/s
  Nonce: 7,100,000 | Hashrate: 212615.84 H/s
  Nonce: 7,200,000 | Hashrate: 212568.46 H/s
  Nonce: 7,300,000 | Hashrate: 212559.78 H/s
  Nonce: 7,400,000 | Hashrate: 212466.33 H/s
  Nonce: 7,500,000 | Hashrate: 212326.77 H/s
  Nonce: 7,600,000 | Hashrate: 212444.41 H/s
  Nonce: 7,700,000 | Hashrate: 212602.37 H/s
  Nonce: 7,800,000 | Hashrate: 212572.03 H/s
  Nonce: 7,900,000 | Hashrate: 212441.64 H/s
  Nonce: 8,000,000 | Hashrate: 212426.94 H/s
  Nonce: 8,100,000 | Hashrate: 212540.00 H/s
  Nonce: 8,200,000 | Hashrate: 212746.72 H/s
  Nonce: 8,300,000 | Hashrate: 212698.79 H/s
  Nonce: 8,400,000 | Hashrate: 212714.92 H/s
  Nonce: 8,500,000 | Hashrate: 212478.13 H/s
  Nonce: 8,600,000 | Hashrate: 212666.43 H/s
  Nonce: 8,700,000 | Hashrate: 212818.67 H/s
  Nonce: 8,800,000 | Hashrate: 212799.50 H/s
  Nonce: 8,900,000 | Hashrate: 212969.44 H/s
  Nonce: 9,000,000 | Hashrate: 212750.71 H/s
  Nonce: 9,100,000 | Hashrate: 212843.08 H/s
  Nonce: 9,200,000 | Hashrate: 212858.77 H/s
  Nonce: 9,300,000 | Hashrate: 212399.31 H/s
  Nonce: 9,400,000 | Hashrate: 212143.74 H/s
  Nonce: 9,500,000 | Hashrate: 211933.56 H/s
  Nonce: 9,600,000 | Hashrate: 212049.67 H/s
  Nonce: 9,700,000 | Hashrate: 212142.13 H/s
  Nonce: 9,800,000 | Hashrate: 212264.81 H/s
  Nonce: 9,900,000 | Hashrate: 212401.91 H/s
  Nonce: 10,000,000 | Hashrate: 212372.27 H/s
  Nonce: 10,100,000 | Hashrate: 212433.99 H/s
  Nonce: 10,200,000 | Hashrate: 212356.62 H/s
  Nonce: 10,300,000 | Hashrate: 212346.57 H/s
  Nonce: 10,400,000 | Hashrate: 212247.74 H/s
  Nonce: 10,500,000 | Hashrate: 212159.41 H/s
  Nonce: 10,600,000 | Hashrate: 212222.51 H/s
  Nonce: 10,700,000 | Hashrate: 212095.30 H/s
  Nonce: 10,800,000 | Hashrate: 212091.35 H/s
  Nonce: 10,900,000 | Hashrate: 212109.73 H/s
  Nonce: 11,000,000 | Hashrate: 211855.18 H/s
  Nonce: 11,100,000 | Hashrate: 211938.95 H/s
  Nonce: 11,200,000 | Hashrate: 211809.29 H/s
  Nonce: 11,300,000 | Hashrate: 211648.66 H/s
  Nonce: 11,400,000 | Hashrate: 211555.72 H/s
  Nonce: 11,500,000 | Hashrate: 211197.98 H/s
  Nonce: 11,600,000 | Hashrate: 210952.46 H/s
  Nonce: 11,700,000 | Hashrate: 210543.20 H/s
  Nonce: 11,800,000 | Hashrate: 210260.32 H/s
  Nonce: 11,900,000 | Hashrate: 210081.85 H/s
  Nonce: 12,000,000 | Hashrate: 210023.96 H/s
  Nonce: 12,100,000 | Hashrate: 209874.83 H/s
  Nonce: 12,200,000 | Hashrate: 209597.75 H/s
  Nonce: 12,300,000 | Hashrate: 209685.36 H/s
  Nonce: 12,400,000 | Hashrate: 209857.26 H/s
  Nonce: 12,500,000 | Hashrate: 210040.83 H/s
  Nonce: 12,600,000 | Hashrate: 209961.35 H/s
  Nonce: 12,700,000 | Hashrate: 209895.61 H/s
  Nonce: 12,800,000 | Hashrate: 209867.44 H/s
  Nonce: 12,900,000 | Hashrate: 209918.15 H/s
  Nonce: 13,000,000 | Hashrate: 209974.03 H/s
  Nonce: 13,100,000 | Hashrate: 210068.59 H/s
  Nonce: 13,200,000 | Hashrate: 210028.94 H/s
  Nonce: 13,300,000 | Hashrate: 209949.26 H/s
  Nonce: 13,400,000 | Hashrate: 209958.69 H/s
  Nonce: 13,500,000 | Hashrate: 210017.21 H/s
  Nonce: 13,600,000 | Hashrate: 210111.46 H/s
  Nonce: 13,700,000 | Hashrate: 209951.73 H/s
  Nonce: 13,800,000 | Hashrate: 209899.75 H/s
  Nonce: 13,900,000 | Hashrate: 210021.30 H/s
  Nonce: 14,000,000 | Hashrate: 209820.24 H/s
  Nonce: 14,100,000 | Hashrate: 209668.40 H/s
  Nonce: 14,200,000 | Hashrate: 209358.36 H/s
  Nonce: 14,300,000 | Hashrate: 209349.82 H/s
  Nonce: 14,400,000 | Hashrate: 209396.66 H/s
  Nonce: 14,500,000 | Hashrate: 209279.30 H/s
  Nonce: 14,600,000 | Hashrate: 209320.44 H/s
  Nonce: 14,700,000 | Hashrate: 209344.94 H/s
  Nonce: 14,800,000 | Hashrate: 209310.28 H/s
  Nonce: 14,900,000 | Hashrate: 209177.81 H/s
  Nonce: 15,000,000 | Hashrate: 209060.64 H/s
  Nonce: 15,100,000 | Hashrate: 209059.18 H/s
  Nonce: 15,200,000 | Hashrate: 208946.05 H/s
  Nonce: 15,300,000 | Hashrate: 208897.39 H/s
  Nonce: 15,400,000 | Hashrate: 208699.55 H/s
  Nonce: 15,500,000 | Hashrate: 208455.02 H/s
  Nonce: 15,600,000 | Hashrate: 208377.36 H/s
  Nonce: 15,700,000 | Hashrate: 208232.97 H/s
  Nonce: 15,800,000 | Hashrate: 208304.45 H/s
  Nonce: 15,900,000 | Hashrate: 208377.23 H/s
  Nonce: 16,000,000 | Hashrate: 208522.82 H/s
  Nonce: 16,100,000 | Hashrate: 208421.62 H/s
  Nonce: 16,200,000 | Hashrate: 208492.01 H/s
  Nonce: 16,300,000 | Hashrate: 208494.31 H/s
  Nonce: 16,400,000 | Hashrate: 208512.75 H/s
  Nonce: 16,500,000 | Hashrate: 208463.41 H/s
  Nonce: 16,600,000 | Hashrate: 208386.97 H/s
  Nonce: 16,700,000 | Hashrate: 208343.56 H/s
  Nonce: 16,800,000 | Hashrate: 208289.40 H/s
  Nonce: 16,900,000 | Hashrate: 208330.49 H/s
  Nonce: 17,000,000 | Hashrate: 208385.24 H/s
  Nonce: 17,100,000 | Hashrate: 208389.99 H/s
  Nonce: 17,200,000 | Hashrate: 208327.13 H/s
  Nonce: 17,300,000 | Hashrate: 208303.21 H/s
  Nonce: 17,400,000 | Hashrate: 208293.77 H/s
  Nonce: 17,500,000 | Hashrate: 208385.04 H/s
  Nonce: 17,600,000 | Hashrate: 208513.34 H/s
  Nonce: 17,700,000 | Hashrate: 208546.32 H/s
  Nonce: 17,800,000 | Hashrate: 208648.56 H/s
